coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded,url
GalaxyGoggle DAO,GG,$99.93,Avalanche,0.5123468875061349,16.58383555900952,"$8,606,792","$6,653,690",-,-,11 days,https://www.coingecko.com//en/coins/galaxygoogle-dao
Kanga Exchange,KNG,$9.84,ethereum,-0.059437018774472536,5.55869451723893,"$109,250","$206,639,715",-,-,7 days,https://www.coingecko.com//en/coins/kanga-exchange
Index Coop - ETH 2x Flexible Leverage Index (Polygon),ETH2X-FLI-P,$87.56,Polygon POS,3.55790173878424,-6.625464597126858,"$33,113.72",?,-,-,7 days,https://www.coingecko.com//en/coins/index-coop-eth-2x-flexible-leverage-index-polygon
Umami Finance,UMAMI,$85.01,Arbitrum One,-0.27398917199903383,-0.5216531830667085,"$417,676",?,-,-,8 days,https://www.coingecko.com//en/coins/umami-finance
Bitcoin BR,BTCBR,$8.20,Binance Smart Chain,-0.03709955849317709,293.0274515996469,$869.05,?,-,-,6 days,https://www.coingecko.com//en/coins/bitcoin-br
Surviving Soldiers,SSG,$6.90,Binance Smart Chain,1.8147947405036415,3.2196467590139686,"$13,622,586",?,-,-,11 days,https://www.coingecko.com//en/coins/surviving-soldiers
Bent Finance,BENT,$6.30,ethereum,-0.7073144670223547,-8.879668663223713,"$173,294","$630,141,276",-,-,3 days,https://www.coingecko.com//en/coins/bent-finance
Turtles Token,TRTLS,$6.09,Solana,2.7744575158760796,-6.790301383576165,"$46,267.48",?,-,-,10 days,https://www.coingecko.com//en/coins/turtles-token
Waves Exchange,WX,$6.06,Waves,-1.0172729654093737,-15.651613282583396,"$649,003","$6,058,575,417",-,-,3 days,https://www.coingecko.com//en/coins/waves-exchange
Biconomy,BICO,$6.03,ethereum,-0.36172431083638074,4.558456473088887,"$218,797,714","$6,032,530,137",-,-,9 days,https://www.coingecko.com//en/coins/biconomy
Crypto Development Services,CDS,$6.02,Binance Smart Chain,0.3019244757944674,-2.7122815715384836,"$9,562.47",?,-,-,2 days,https://www.coingecko.com//en/coins/crypto-development-services
Rome,ROME,$555.67,Moonriver,-0.2554405323747355,-14.350134750337585,"$6,437,335",?,-,-,9 days,https://www.coingecko.com//en/coins/rome
Fenix Danjon,DJN,$55.62,Solana,0.22850203450061635,-13.485589370706636,"$2,995.19",?,-,-,8 days,https://www.coingecko.com//en/coins/fenix-danjon
Templar DAO,TEM,$536.77,Binance Smart Chain,6.292617581918224,33.7263338837156,"$393,637",?,-,-,11 days,https://www.coingecko.com//en/coins/templar-dao
Santos FC Fan Token,SANTOS,$5.42,Binance Smart Chain,8.426055727787261,10.348264333978852,"$30,360,171",?,-,-,8 days,https://www.coingecko.com//en/coins/santos-fc-fan-token
KingPad,CROWN,$5.11,Binance Smart Chain,1.2056507721182057,-8.22847051798859,"$320,781",?,-,-,7 days,https://www.coingecko.com//en/coins/kingpad
Diamond XRPL,DIAMOND,$485.97,XRP Ledger,0.020439594725101363,-18.37187836753527,"$100,551",?,-,-,9 days,https://www.coingecko.com//en/coins/diamond-xrpl
Manifest,MNFST,$47.89,ethereum,-4.118336694301547,-5.117143172915937,"$34,564.81","$2,680,998",-,-,10 days,https://www.coingecko.com//en/coins/manifest
Mirrored SPDR S&P 500,MSPY,$468.87,,-0.31598069860739764,-0.46537655184494575,"$276,247",?,-,-,9 days,https://www.coingecko.com//en/coins/mirrored-spdr-s-p-500
CheeseDAO,CHEEZ,$46.17,Harmony Shard 0,-0.10854513402716731,-4.5324792477279825,"$985,902",?,-,-,8 days,https://www.coingecko.com//en/coins/cheesedao
Wrapped BCH,WBCH,$456.57,,0.6943888497190128,-1.1962595527340505,"$414,752",?,-,-,15 hours,https://www.coingecko.com//en/coins/wrapped-bch
Staked Klima,SKLIMA,$436.95,Polygon POS,-3.497426750876652,-21.58973682892105,"$5,750.59",?,-,-,10 days,https://www.coingecko.com//en/coins/staked-klima
Bomb Money,BOMB,$4.79,Binance Smart Chain,0.09876889996941385,0.09876889996941385,"$5,641,336",?,1561,2.23%,35 minutes,https://www.coingecko.com//en/coins/bomb-money
Integritee,TEER,$4.68,,-0.24605985487951895,-7.264843982417133,"$35,393.04","$46,757,916",-,-,9 days,https://www.coingecko.com//en/coins/integritee
Smart Token,SMART,$4.46,Fantom,0.5802437557570373,-9.649675213957591,$907.18,"$446,969",-,-,10 days,https://www.coingecko.com//en/coins/smart-token
Anchor bETH Token,BETH,"$4,054.75",Terra,487.75227740805826,-7.072166189795244,"$11,430,854",?,-,-,10 days,https://www.coingecko.com//en/coins/anchor-beth-token
MetaversePRO,META,$371.42,Binance Smart Chain,-3.4935588349705573,17.12407696044084,"$10,487,815","$371,527,155",-,-,23 hours,https://www.coingecko.com//en/coins/metaversepro
Vibranium,VBN,$35.57,Binance Smart Chain,0.7780546209820544,-3.524148264393063,"$481,193","$64,040,872",-,-,3 days,https://www.coingecko.com//en/coins/vibranium
CrimeGold,CGOLD,"$345,096",Binance Smart Chain,0.2875897971482103,34.682991827252515,"$354,360","$34,683,747,935",-,-,2 days,https://www.coingecko.com//en/coins/crimegold
Dragon Knight,DK,$34.98,Binance Smart Chain,-0.23210673367478302,-2.77142075969052,"$23,488.24","$24,317,102",-,-,2 days,https://www.coingecko.com//en/coins/dragon-knight
Trick,TRICK,$32.18,Fantom,3.4710975470544856,-47.01120271745254,"$164,524","$49,475.65",-,-,7 days,https://www.coingecko.com//en/coins/trick
HeroFi Token,ROFI,$3.34,Binance Smart Chain,-1.2439740226219456,-8.38293621305788,"$210,623",?,-,-,2 days,https://www.coingecko.com//en/coins/herofi-token
Dawn Wars,DW,$3.17,Binance Smart Chain,1.2284290147036887,-0.7566082918652939,"$123,400","$31,686,544",-,-,6 days,https://www.coingecko.com//en/coins/dawn-wars
Ice Dao,ICE,$29.48,Avalanche,-0.6909546524245352,-11.42742198310282,"$738,100",?,-,-,21 hours,https://www.coingecko.com//en/coins/ice-dao
Mirror mDOT Token,MDOT,$29.22,Terra,0.10993357453336644,-6.575151917059382,"$455,967",?,-,-,10 days,https://www.coingecko.com//en/coins/mirror-mdot-token
Thor,THOR,$285.39,Avalanche,7.835399709492054,-18.243205285287246,"$1,776,606","$5,838,124,208",-,-,1 day,https://www.coingecko.com//en/coins/thor
Mirrored Coinbase,MCOIN,$284.18,,-0.13217398501886315,-5.9921902359301935,"$130,705",?,-,-,9 days,https://www.coingecko.com//en/coins/mirrored-coinbase
Drip Network,DRIP,$28.27,Binance Smart Chain,-1.2365104918516037,4.610589967492965,"$29,577.42","$28,435,981",-,-,1 day,https://www.coingecko.com//en/coins/drip-network
IceFlake Finance,FLAKE,$26.67,Avalanche,-3.6046242865378866,-61.76150365098846,"$162,044","$16,004.50",-,-,3 days,https://www.coingecko.com//en/coins/iceflake-finance
Honey Deluxe,HONEYD,$26.26,ethereum,-1.6589454719973553,-15.611868407155763,"$102,756",?,-,-,8 days,https://www.coingecko.com//en/coins/honey-deluxe
GizaDao,GIZA,$25.99,Fantom,1.4783323645447461,-26.55069990083933,"$1,047,177","$2,548,178",-,-,8 days,https://www.coingecko.com//en/coins/gizadao
MeebitsDAO Pool,MBBT,$23.82,ethereum,1.0986904438673293,-15.077512001200228,"$88,773.13","$2,381,596",-,-,11 days,https://www.coingecko.com//en/coins/meebitsdao-pool
RaDAO,RA,$23.81,Binance Smart Chain,-5.435460792630804,-25.944889971953305,"$1,934,385","$328,819",-,-,10 days,https://www.coingecko.com//en/coins/radao
Mirrored Robinhood Markets,MHOOD,$23.41,,0.08590627694102719,-3.4186665692621596,"$81,311.70",?,-,-,9 days,https://www.coingecko.com//en/coins/mirrored-robinhood-markets
xSuter,XSUTER,$224.51,Binance Smart Chain,-0.17931396787209397,-5.91343482847684,"$1,369.80","$7,187,190",-,-,7 days,https://www.coingecko.com//en/coins/xsuter
StaFi rATOM,RATOM,$22.11,ethereum,1.2618036155358094,-4.789818846974444,"$2,800.41",?,-,-,9 days,https://www.coingecko.com//en/coins/stafi-ratom
Governance OHM,GOHM,"$22,130.92",ethereum,1.0274239789492152,-2.094469508841711,$118.91,?,-,-,9 days,https://www.coingecko.com//en/coins/governance-ohm
Mirrored Galaxy Digital Holdings Ltd,MGLXY,$20.11,Terra,0.020723475677144075,-4.522548370273614,"$88,405.47",?,-,-,9 days,https://www.coingecko.com//en/coins/mirrored-galaxy-digital-holdings-ltd
KRAUSE,$KRAUSE,$2.91,ethereum,-2.979303515949807,3.578617075604748,"$59,006.47",?,-,-,10 days,https://www.coingecko.com//en/coins/krause
ChargeDeFi Static,STATIC,$2.85,Binance Smart Chain,3.3005272162082275,3.3005272162082275,"$5,583,990","$4,997,388",1384,2.06%,39 minutes,https://www.coingecko.com//en/coins/chargedefi-static
Infam,INF,$2.51,Binance Smart Chain,0.15658350120924086,-1.1435919755908825,"$49,069.39",?,-,-,7 days,https://www.coingecko.com//en/coins/infam
Colony,CLY,$2.12,Avalanche,1.6055513042441405,9.239218190667735,"$9,664,032","$317,645,924",-,-,21 hours,https://www.coingecko.com//en/coins/colony
Mirrored Square,MSQ,$199.97,,-0.2129805871221981,-3.2537077342446463,"$92,771.64",?,-,-,9 days,https://www.coingecko.com//en/coins/mirrored-square
Vikings Finance,VAL,$19.91,Avalanche,-3.115772525933037,-13.797493122099718,"$196,863","$1,906,429,694,387,916",-,-,4 days,https://www.coingecko.com//en/coins/vikings-finance
Life DAO,LF,$178.06,Avalanche,3.347971469025894,20.3455762287554,"$2,363,002","$2,249,934",-,-,11 days,https://www.coingecko.com//en/coins/life-dao
MidasDAO,CROWN,$154.83,Avalanche,2.5478656309817143,24.971366173764647,"$1,024,741","$154,831,446",-,-,4 days,https://www.coingecko.com//en/coins/midasdao
Mirror mAMD Token,MAMD,$141.76,Terra,-0.21319461716523325,-3.217601636327134,"$75,050.89",?,-,-,10 days,https://www.coingecko.com//en/coins/mirror-mamd-token
Tempo DAO,TEMPO,$14.61,Avalanche,2.451409548631097,-48.126207630928114,"$579,135","$1,460,733",-,-,10 days,https://www.coingecko.com//en/coins/tempo-dao
Tornadao,NADO,$120.11,Avalanche,3.1314925490425334,-43.67608111451478,"$340,268","$842,782",-,-,10 days,https://www.coingecko.com//en/coins/tornadao
PAPA DAO,PAPA,$12.90,Avalanche,-6.698680609694299,-26.877460238414997,"$3,270,004","$2,877,092",-,-,9 days,https://www.coingecko.com//en/coins/papa-dao
Vagabond,VGO,$108.61,XRP Ledger,0.8233701885774816,65.98546108244369,"$1,240.53","$10,860,785,706",-,-,4 days,https://www.coingecko.com//en/coins/vagabond
Metagame Arena,MGA,$1.87,Binance Smart Chain,0.04877612934539009,2.705951345198656,"$122,049","$56,151,279",-,-,12 days,https://www.coingecko.com//en/coins/metagame-arena
BACON,BACON,$1.75,Solana,-0.4916113290088088,13.784088885490958,"$3,477.30",?,-,-,4 days,https://www.coingecko.com//en/coins/bacon
Born To Race,BRT,$1.65,Binance Smart Chain,0.7926865369423842,-1.3438549353467095,"$27,800.91",?,-,-,10 days,https://www.coingecko.com//en/coins/born-to-race
Kardia Info,INFO,$1.64,KardiaChain,5.597787434066127,3.990701094332289,"$146,228","$1,574,080",-,-,9 days,https://www.coingecko.com//en/coins/kardia-info
Autobusd,ABS,$1.63,Binance Smart Chain,-10.227446676788766,81.03050018212255,"$22,640.42","$3,269,069",-,-,10 days,https://www.coingecko.com//en/coins/autobusd
Small Fish Cookie,SFC,$1.44,Binance Smart Chain,-1.3721223196450199,-6.437666250733097,"$2,325,774","$2,352,461",-,-,7 days,https://www.coingecko.com//en/coins/small-fish-cookie
Enigma DAO,GMA,$1.42,Avalanche,-0.2940102728416243,-3.9987948462660317,"$1,805.98",?,-,-,9 days,https://www.coingecko.com//en/coins/enigma-dao
BuffaloSwap HORN,HORN,$1.32,Binance Smart Chain,0.3452425453884458,-0.16593488812001736,"$8,188.12","$1,318,938",-,-,4 days,https://www.coingecko.com//en/coins/buffaloswap-horn
Royal Gold,RGOLD,$1.31,Binance Smart Chain,-3.9617519523297062,12.099571421088312,"$1,367,588","$6,534,866",-,-,1 day,https://www.coingecko.com//en/coins/royal-gold
CronaSwap,CRONA,$1.19,Cronos,1.154879757974377,2.3858170659798104,$215.66,?,-,-,9 days,https://www.coingecko.com//en/coins/cronaswap
AnchorUST,AUST,$1.15,Terra,-0.1623375679538813,-0.3971511567626546,"$72,932.80",?,-,-,9 days,https://www.coingecko.com//en/coins/anchorust
Avaware USD,AUSD,$1.01,Avalanche,0.6563182061932105,-2.814404341933524,"$49,352.88","$308,483",-,-,1 day,https://www.coingecko.com//en/coins/avaware-usd
TerraUSD (Wormhole),UST,$1.00,ethereum,-0.6161196425375811,-0.33751268148893465,"$346,766",?,-,-,8 days,https://www.coingecko.com//en/coins/terrausd-wormhole
ChargeDeFi Charge,CHARGE,"$1,415.40",Binance Smart Chain,4.250279439294584,4.250279439294584,"$6,560,516",?,1403,1.23%,36 minutes,https://www.coingecko.com//en/coins/chargedefi-charge
Sipher,SIPHER,$0.951040,ethereum,2.2640118228585053,-34.434140853184005,"$12,146,202",?,-,-,9 days,https://www.coingecko.com//en/coins/sipher
PolygonumOnline,POG,$0.944577,,-0.026045221464588982,-6.519264195469335,"$81,511.63",?,-,-,10 days,https://www.coingecko.com//en/coins/polygonumonline
Harmony Parrot Egg,1PEGG,$0.937136,Harmony Shard 0,0.3533147164886091,-19.31265543800351,"$68,384.69",?,-,-,8 days,https://www.coingecko.com//en/coins/harmony-parrot-egg
Passive Token,PASSIVE,$0.904773,Binance Smart Chain,0.28943219842911844,-11.62641596243477,"$13,565.62","$808,086",-,-,4 days,https://www.coingecko.com//en/coins/passive-token
Family,FAM,$0.904763,Harmony Shard 0,-0.01657254047776737,-4.658740673120305,$361.94,?,-,-,7 days,https://www.coingecko.com//en/coins/family
yfu.finance,YFU,$0.895714,ethereum,1.0160182883196265,1.0160182883196265,"$1,221.64",?,391,0.00%,10 hours,https://www.coingecko.com//en/coins/yfu-finance
Rikkei Finance,RIFI,$0.822725,ethereum,-2.0914965206353324,-0.619481977158909,"$10,351,329",?,-,-,2 days,https://www.coingecko.com//en/coins/rikkei-finance
KaraStar UMY,UMY,$0.809614,Binance Smart Chain,0.6957689316733543,-2.526578580397661,"$566,542",?,-,-,6 days,https://www.coingecko.com//en/coins/karastar-umy
Heroes TD,HTD,$0.783512,Binance Smart Chain,-0.27696917966082457,-16.858048406511152,"$3,313,365","$364,077,610",-,-,11 days,https://www.coingecko.com//en/coins/heroes-td
Gunstar Metaverse,GST,$0.769689,Binance Smart Chain,-0.6973553824435987,-5.59562454083585,"$795,548","$307,887,326",-,-,9 days,https://www.coingecko.com//en/coins/gunstar-metaverse
Propel Token,PEL,$0.724484,,-0.3988673261139027,-2.2857633435445504,"$2,288,289",?,-,-,3 days,https://www.coingecko.com//en/coins/propel-token
Instrumental Finance,STRM,$0.675111,ethereum,-0.07500538379299548,-0.07500538379299548,"$216,520","$67,561,763",420,1.45%,26 minutes,https://www.coingecko.com//en/coins/instrumental-finance
DePocket,DEPO,$0.627222,Binance Smart Chain,0.3026357254910112,3.524751114865838,"$9,091.42","$13,174,670",-,-,9 days,https://www.coingecko.com//en/coins/depocket
Operon Origins,ORO,$0.583626,Binance Smart Chain,2.3314538444244066,-3.859424605852227,"$384,299","$58,362,595",-,-,11 days,https://www.coingecko.com//en/coins/operon-origins
LUCA,LUCA,$0.532014,Binance Smart Chain,-0.0843824888157739,0.13339604464811597,"$20,556.40","$10,641,548",-,-,3 days,https://www.coingecko.com//en/coins/luca
Zodium,ZODI,$0.520249,Binance Smart Chain,0.7591439204141266,16.25658929706498,"$1,425,710",?,-,-,7 days,https://www.coingecko.com//en/coins/zodium
MooMonster,MOO,$0.505475,Binance Smart Chain,-0.2270801937082166,-1.7978263841726165,"$54,809.03",?,-,-,7 days,https://www.coingecko.com//en/coins/moomonster
PlayTreks,TREKS,$0.499891,ethereum,-0.2333761639423951,-0.357237226456474,"$17,687.53","$5,017,840",-,-,16 hours,https://www.coingecko.com//en/coins/playtreks
Victoria VR,VR,$0.493487,ethereum,2.354483974655024,32.2973603405032,"$54,177,063",?,-,-,7 days,https://www.coingecko.com//en/coins/victoria-vr
INS3,INS3,$0.469428,Binance Smart Chain,-1.014094961137261,-44.84157121055596,"$320,237","$4,694,279",303,-0.66%,10 hours,https://www.coingecko.com//en/coins/ins3
WapSwap Finance,WAP,$0.463454,Binance Smart Chain,0.7351529018973203,-5.570829369052313,$898.76,"$878,855",-,-,9 days,https://www.coingecko.com//en/coins/wapswap-finance
Peoplez,LEZ,$0.433077,Binance Smart Chain,0.7237010271085407,-9.769332402405698,"$13,714.72","$7,795,646",-,-,7 days,https://www.coingecko.com//en/coins/peoplez
Atlantis Metaverse,TAU,$0.422479,Binance Smart Chain,4.249631602432207,6.310372136337944,"$3,208,687","$84,495,790",9841,0.32%,13 hours,https://www.coingecko.com//en/coins/atlantis-metaverse
BlockchainSpace,GUILD,$0.400140,ethereum,-56.16986925435683,-64.02990676071082,"$8,637.56","$400,140,173",-,-,3 days,https://www.coingecko.com//en/coins/blockchainspace
Decentral Games Governance,XDG,$0.385072,ethereum,0.9487073057059194,-9.398616432758894,"$58,838.33",?,-,-,7 days,https://www.coingecko.com//en/coins/decentral-games-governance
Decentral Games,DG,$0.371308,ethereum,0.3223835780932112,-10.920118827707785,"$872,742","$371,307,763",-,-,8 days,https://www.coingecko.com//en/coins/decentral-games
CryptoDiceHero,HRO,$0.365913,Binance Smart Chain,-1.4631484943734265,38.149161045734644,"$1,893,286","$36,606,955",-,-,11 days,https://www.coingecko.com//en/coins/cryptodicehero
Blockasset,BLOCK,$0.341926,Solana,1.7562908157149848,-63.985201865079446,"$720,325",?,-,-,1 day,https://www.coingecko.com//en/coins/blockasset
Zenith Chain,ZENITH,$0.309288,Binance Smart Chain,-3.6896712207748936,11.991913549393379,"$206,150","$3,092,884",-,-,3 days,https://www.coingecko.com//en/coins/zenith-chain
PathDAO,PATH,$0.300510,ethereum,4.512666131212392,-12.594597228303906,"$1,291,991","$300,509,604",-,-,5 days,https://www.coingecko.com//en/coins/pathdao
GOGOcoin,GOGO,$0.300192,Polygon POS,-0.4427595004965243,-48.67412836069892,"$2,070.38",?,-,-,1 day,https://www.coingecko.com//en/coins/gogocoin
WagmiDAO,GMI,$0.254149,Harmony Shard 0,-1.775026780075661,-24.147956451814974,"$1,573.93","$127,074,359",-,-,10 days,https://www.coingecko.com//en/coins/wagmidao
TabTrader,TTT,$0.253057,Solana,0.4822154531700841,-4.803585284725668,"$754,584","$253,057,073",-,-,10 days,https://www.coingecko.com//en/coins/tabtrader
SafeDogecoin,SAFEDOGE,$0.246107,Binance Smart Chain,-4.910195621991848,-2.121191935854363,"$4,931.23",?,-,-,1 day,https://www.coingecko.com//en/coins/safedogecoin
Thetan Coin,THC,$0.237278,Binance Smart Chain,1.4005915597161924,-15.615156833911003,"$3,554,892","$4,747,131",-,-,11 days,https://www.coingecko.com//en/coins/thetan-coin
WidiLand,WIDI,$0.233684,Binance Smart Chain,21.161598533275278,10.394440387912848,"$124,445",?,-,-,8 days,https://www.coingecko.com//en/coins/widiland
Aimedis,AIMX,$0.230824,Binance Smart Chain,-3.53543844945619,-5.5391403731758215,"$507,591","$138,494,547",-,-,2 days,https://www.coingecko.com//en/coins/aimedis
BuffSwap,BUFFS,$0.214099,Binance Smart Chain,1.2717999215985558,-3.9005187510150003,"$3,369.35","$21,409,859",-,-,7 days,https://www.coingecko.com//en/coins/buffswap
MINE Network,MNET,$0.211848,,1.8030043777950109,-20.446119927035415,"$2,816,751",?,-,-,9 days,https://www.coingecko.com//en/coins/mine-network
ForthBox,FBX,$0.211445,Binance Smart Chain,0.17605324435826186,-5.934124616174365,"$161,626","$211,413,384",-,-,9 days,https://www.coingecko.com//en/coins/forthbox
Spintop,SPIN,$0.210561,Binance Smart Chain,2.4074461311275814,-15.425699726755473,"$907,652","$210,561,645",-,-,6 days,https://www.coingecko.com//en/coins/spintop
Fintropy,FINT,$0.206429,ethereum,-2.0867332320918255,-4.5940179775565575,"$73,354.08","$6,192,870",-,-,4 days,https://www.coingecko.com//en/coins/fintropy
LOT.TRADE,LOTT,$0.202605,Binance Smart Chain,0.3814027709514692,3.6653373390066295,"$95,376.56","$20,299,560",-,-,9 days,https://www.coingecko.com//en/coins/lot-trade
CorgiSwap,CORIS,$0.198140,Binance Smart Chain,-6.197733820396696,-17.949870930327737,"$148,656",?,-,-,1 day,https://www.coingecko.com//en/coins/corgiswap
Wicrypt,WNT,$0.187747,Polygon POS,-0.5035042763874471,-10.134655102665553,"$177,339","$37,549,430",-,-,4 days,https://www.coingecko.com//en/coins/wicrypt
Diamond Whitex,DWHX,$0.176241,Binance Smart Chain,0.8253294383414468,0.9733909778024928,"$16,737.17","$1,762,410",-,-,1 day,https://www.coingecko.com//en/coins/diamond-whitex
Lemonn,LMN,$0.169286,Binance Smart Chain,0.5445020287005218,-5.364414129529657,"$6,044.32","$1,693,060",-,-,10 days,https://www.coingecko.com//en/coins/lemonn
Rooster Battle,RICE,$0.167105,Binance Smart Chain,1.439392663324009,20.5402157158216,"$894,999","$50,131,591",-,-,11 days,https://www.coingecko.com//en/coins/rooster-battle
Natural Farm Union Protocol,NFUP,$0.161467,ethereum,1.141477376819673,6.415580066776416,"$2,309,337","$161,467,235",-,-,10 days,https://www.coingecko.com//en/coins/natural-farm-union-protocol
ShopNEXT,NEXT,$0.158228,,-0.35580518107334175,-11.370347564332832,"$219,153","$158,228,412",-,-,9 days,https://www.coingecko.com//en/coins/shopnext
Monster Adventure Token,MAT,$0.154297,Binance Smart Chain,1.576775275016451,-18.535663656540326,"$569,270","$1,543,413",-,-,4 days,https://www.coingecko.com//en/coins/monster-adventure-token
Sportium,SPRT,$0.141407,Binance Smart Chain,-1.9489169596538358,18.005039304288143,"$1,598,089",?,-,-,11 days,https://www.coingecko.com//en/coins/sportium
Luxy,LUXY,$0.138576,Polygon POS,-0.37017063875310796,-0.4225264299196467,"$34,633.26","$13,857,595",-,-,8 days,https://www.coingecko.com//en/coins/luxy
KingSpeed,KSC,$0.138329,Binance Smart Chain,-0.337541999873883,-10.134129597626558,"$59,938.69","$27,859,121",-,-,4 days,https://www.coingecko.com//en/coins/kingspeed
SuperPlayer World,HONOR,$0.134735,Binance Smart Chain,-0.33276234338651456,-2.620903893530607,"$216,666","$80,868,067",-,-,9 days,https://www.coingecko.com//en/coins/superplayer-world
Kryxivia Game,KXA,$0.132756,Binance Smart Chain,0.6650433033148501,19.034969711876446,"$2,259,979","$33,137,314",-,-,4 days,https://www.coingecko.com//en/coins/kryxivia-game
bePAY Finance,BECOIN,$0.132421,ethereum,0.8685198304059498,6.977252546366876,"$10,397.82","$132,436,613",-,-,3 days,https://www.coingecko.com//en/coins/bepay-finance
NuNet,NTX,$0.130740,ethereum,2.7675377060678703,3.437153485702323,"$140,470","$82,529,639",-,-,11 days,https://www.coingecko.com//en/coins/nunet
Plastiks,PLASTIK,$0.126277,Binance Smart Chain,-1.0704963667548753,-24.994944667567697,"$134,957",?,-,-,6 days,https://www.coingecko.com//en/coins/plastiks
Metapay,MPAY,$0.123435,Binance Smart Chain,1.1723086308742583,3.6232679888851553,"$96,928.28","$1,234,347",-,-,10 days,https://www.coingecko.com//en/coins/metapay
Run,RUN,$0.121337,Solana,1.2121465669135698,-8.70684101152656,"$439,953","$120,895,403",-,-,16 hours,https://www.coingecko.com//en/coins/run
